Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
18f.gov,18f.gov,https://18f.gov,True,True,https://18f.gsa.gov/,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
2020census.gov,2020census.gov,http://2020census.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False,False,False,True,True,True,False
911.gov,911.gov,https://www.911.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
911commission.gov,911commission.gov,https://911commission.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False,False,False,True,True,True,False
aapi.gov,aapi.gov,http://aapi.gov,True,True,https://www.whitehouse.gov/aapi,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
abandonedmines.gov,abandonedmines.gov,https://abandonedmines.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
abilityone.gov,abilityone.gov,http://abilityone.gov,True,False,,True,False,False,False,False,False,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,False,False,True,False,True,False
abmc.gov,abmc.gov,http://abmc.gov,True,False,,True,False,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,False,True,False
abmcscholar.gov,abmcscholar.gov,http://abmcscholar.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
access-board.gov,access-board.gov,https://www.access-board.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
acf.gov,acf.gov,http://acf.gov,True,True,https://www.acf.hhs.gov/,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
achp.gov,achp.gov,http://achp.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
